1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
184,47,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185,48,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,49,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,50,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,51,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
189,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111
190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,5,32850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,6,32850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,7,32850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,8,32850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,9,32850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111
211,1,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2,0.246575342,90,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,3,1,365,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,4,5,1825,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,5,10,3650,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,6,15,5475,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,7,25,9125,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,8,50,18250,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,9,70,25550,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,10,90,32850,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,11,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,12,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,13,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,14,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,15,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,16,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,17,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,18,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,19,999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
